tier,metric,mean,std,n
weak,1_accuracy.grade_agreement,0.6792,0.0961,5
weak,1_accuracy.grade_cohen_kappa,0.543,0.1195,5
weak,1_accuracy.matched_pairs,12.4,0.4899,5
weak,1_accuracy.time_MAE_min,13.22,0.9537,5
weak,1_accuracy.time_MAPE_pct,54.52,15.5663,5
weak,1_accuracy.unmatched_reference,0.6,0.4899,5
weak,2_reliability.mean_cv_minutes,0.196,0.0482,5
weak,2_reliability.median_cv_minutes,0.2014,0.0388,5
weak,2_reliability.pct_nodes_low_cv,70.94,14.3288,5
weak,3_efficiency.annual_saving_usd,119343.0,42108.252,5
weak,3_efficiency.pipeline_llm_cost_usd,0.0462,0.0309,5
weak,3_efficiency.saving_to_cost_ratio,7696719.0,9951126.5477,5
weak,4_transparency.grade_rationale_coverage_pct,100.0,0.0,5
weak,4_transparency.pct_estimates_grounded,57.78,4.3171,5
weak,5_robustness.clarifying_rate_pct,1.78,1.6278,5
weak,5_robustness.missing_system_flagged,36.6,2.7276,5
mid,1_accuracy.grade_agreement,0.6434,0.0502,5
mid,1_accuracy.grade_cohen_kappa,0.4828,0.0572,5
mid,1_accuracy.matched_pairs,12.4,0.4899,5
mid,1_accuracy.time_MAE_min,12.82,2.6717,5
mid,1_accuracy.time_MAPE_pct,54.26,8.5348,5
mid,1_accuracy.unmatched_reference,0.6,0.4899,5
mid,2_reliability.mean_cv_minutes,0.2422,0.0533,5
mid,2_reliability.median_cv_minutes,0.224,0.0443,5
mid,2_reliability.pct_nodes_low_cv,59.84,9.4527,5
mid,3_efficiency.annual_saving_usd,98248.4,44104.8249,5
mid,3_efficiency.pipeline_llm_cost_usd,0.1553,0.0317,5
mid,3_efficiency.saving_to_cost_ratio,671844.4,295562.0309,5
mid,4_transparency.grade_rationale_coverage_pct,100.0,0.0,5
mid,4_transparency.pct_estimates_grounded,50.68,18.3891,5
mid,5_robustness.clarifying_rate_pct,5.34,9.6178,5
mid,5_robustness.missing_system_flagged,39.6,1.3565,5
strong,1_accuracy.grade_agreement,0.6864,0.0445,5
strong,1_accuracy.grade_cohen_kappa,0.548,0.0568,5
strong,1_accuracy.matched_pairs,11.4,1.2,5
strong,1_accuracy.time_MAE_min,14.178,2.4262,5
strong,1_accuracy.time_MAPE_pct,48.1,14.7572,5
strong,1_accuracy.unmatched_reference,1.6,1.2,5
strong,2_reliability.mean_cv_minutes,0.2168,0.0442,5
strong,2_reliability.median_cv_minutes,0.2226,0.0417,5
strong,2_reliability.pct_nodes_low_cv,58.86,9.896,5
strong,3_efficiency.annual_saving_usd,133098.0,44859.1077,5
strong,3_efficiency.pipeline_llm_cost_usd,0.2624,0.0291,5
strong,3_efficiency.saving_to_cost_ratio,506807.6,152807.7369,5
strong,4_transparency.grade_rationale_coverage_pct,100.0,0.0,5
strong,4_transparency.pct_estimates_grounded,56.46,5.5784,5
strong,5_robustness.clarifying_rate_pct,2.84,2.5508,5
strong,5_robustness.missing_system_flagged,34.4,5.1614,5
