cases_per_month,partial_retain,hourly_wage_usd,annual_saving_usd,roi_pct,payback_years,effort_reduction_pct
5,0.1,20,5300.0,-11.2,,42.6
5,0.1,35,9275.0,-4.5,,42.6
5,0.1,50,13250.0,2.1,48.0,42.6
5,0.1,80,21200.0,15.3,6.52,42.6
5,0.3,20,4220.0,-13.0,,33.9
5,0.3,35,7385.0,-7.7,,33.9
5,0.3,50,10550.0,-2.4,,33.9
5,0.3,80,16880.0,8.1,12.3,33.9
5,0.5,20,3140.0,-14.8,,25.2
5,0.5,35,5495.0,-10.8,,25.2
5,0.5,50,7850.0,-6.9,,25.2
5,0.5,80,12560.0,0.9,107.14,25.2
10,0.1,20,10600.0,-2.3,,42.6
10,0.1,35,18550.0,10.9,9.16,42.6
10,0.1,50,26500.0,24.2,4.14,42.6
10,0.1,80,42400.0,50.7,1.97,42.6
10,0.3,20,8440.0,-5.9,,33.9
10,0.3,35,14770.0,4.6,21.66,33.9
10,0.3,50,21100.0,15.2,6.59,33.9
10,0.3,80,33760.0,36.3,2.76,33.9
10,0.5,20,6280.0,-9.5,,25.2
10,0.5,35,10990.0,-1.7,,25.2
10,0.5,50,15700.0,6.2,16.22,25.2
10,0.5,80,25120.0,21.9,4.57,25.2
20,0.1,20,21200.0,15.3,6.52,42.6
20,0.1,35,37100.0,41.8,2.39,42.6
20,0.1,50,53000.0,68.3,1.46,42.6
20,0.1,80,84800.0,121.3,0.82,42.6
20,0.3,20,16880.0,8.1,12.3,33.9
20,0.3,35,29540.0,29.2,3.42,33.9
20,0.3,50,42200.0,50.3,1.99,33.9
20,0.3,80,67520.0,92.5,1.08,33.9
20,0.5,20,12560.0,0.9,107.14,25.2
20,0.5,35,21980.0,16.6,6.01,25.2
20,0.5,50,31400.0,32.3,3.09,25.2
20,0.5,80,50240.0,63.7,1.57,25.2
40,0.1,20,42400.0,50.7,1.97,42.6
40,0.1,35,74200.0,103.7,0.96,42.6
40,0.1,50,106000.0,156.7,0.64,42.6
40,0.1,80,169600.0,262.7,0.38,42.6
40,0.3,20,33760.0,36.3,2.76,33.9
40,0.3,35,59080.0,78.5,1.27,33.9
40,0.3,50,84400.0,120.7,0.83,33.9
40,0.3,80,135040.0,205.1,0.49,33.9
40,0.5,20,25120.0,21.9,4.57,25.2
40,0.5,35,43960.0,53.3,1.88,25.2
40,0.5,50,62800.0,84.7,1.18,25.2
40,0.5,80,100480.0,147.5,0.68,25.2
60,0.1,20,63600.0,86.0,1.16,42.6
60,0.1,35,111300.0,165.5,0.6,42.6
60,0.1,50,159000.0,245.0,0.41,42.6
60,0.1,80,254400.0,404.0,0.25,42.6
60,0.3,20,50640.0,64.4,1.55,33.9
60,0.3,35,88620.0,127.7,0.78,33.9
60,0.3,50,126600.0,191.0,0.52,33.9
60,0.3,80,202560.0,317.6,0.31,33.9
60,0.5,20,37680.0,42.8,2.34,25.2
60,0.5,35,65940.0,89.9,1.11,25.2
60,0.5,50,94200.0,137.0,0.73,25.2
60,0.5,80,150720.0,231.2,0.43,25.2
100,0.1,20,106000.0,156.7,0.64,42.6
100,0.1,35,185500.0,289.2,0.35,42.6
100,0.1,50,265000.0,421.7,0.24,42.6
100,0.1,80,424000.0,686.7,0.15,42.6
100,0.3,20,84400.0,120.7,0.83,33.9
100,0.3,35,147700.0,226.2,0.44,33.9
100,0.3,50,211000.0,331.7,0.3,33.9
100,0.3,80,337600.0,542.7,0.18,33.9
100,0.5,20,62800.0,84.7,1.18,25.2
100,0.5,35,109900.0,163.2,0.61,25.2
100,0.5,50,157000.0,241.7,0.41,25.2
100,0.5,80,251200.0,398.7,0.25,25.2
