domain,id,name,actor,system,auto_grade,auto_rationale
Hospital Revenue-Cycle / Billing,w1,Code assignment from clinical notes,Coder,[MISSING],partial,"AI can assist in drafting codes based on clinical notes, but human expertise is needed for final validation."
Hospital Revenue-Cycle / Billing,w2,Claim building,Biller,Billing system,full,The process of building a claim can be fully automated using AI systems that integrate with billing software.
Hospital Revenue-Cycle / Billing,w3,Query generation for missing fields,Biller,[MISSING],partial,"AI can generate queries for missing information, but human intervention is needed to send them."
Hospital Revenue-Cycle / Billing,w4,Claim submission,Biller,Billing system,full,Claim submission can be fully automated through electronic systems.
Hospital Revenue-Cycle / Billing,w5,Denial analysis and appeal letter writing,Specialist,[MISSING],partial,"AI can assist in drafting appeal letters based on denial reasons, but human judgment is required for context."
Hospital Revenue-Cycle / Billing,w6,Payment posting to patient ledger,Unknown,[MISSING],manual,This task requires manual entry and cannot be automated due to the need for physical handling.
Corporate Legal — Contract Review,w1,Intake and logging of counterparty's draft,paralegal,matter system,full,This task involves data entry which can be fully automated by AI systems.
Corporate Legal — Contract Review,w2,Clause comparison against standard playbook,associate,[MISSING],partial,"AI can assist in drafting and flagging deviations, but human judgment is needed for final decisions."
Corporate Legal — Contract Review,w3,Drafting proposed redlines for non-standard clauses,associate,[MISSING],partial,"AI can generate drafts, but a human must review and finalize the redlines."
Corporate Legal — Contract Review,w4,Review of high-risk clauses,partner,[MISSING],manual,This task requires human judgment and expertise that cannot be automated.
Corporate Legal — Contract Review,w5,Emailing negotiated changes to counterparty,associate,[MISSING],partial,"AI can assist in drafting emails, but human oversight is necessary for context and final approval."
Corporate Legal — Contract Review,w6,Filing final executed copy in document repository,paralegal,[MISSING],full,This task can be fully automated as it involves document management.
Corporate Legal — Contract Review,w7,Tracking key dates like renewal and expiry,[MISSING],spreadsheet,manual,This task requires ongoing human attention and cannot be fully automated.
Manufacturing Finance — Monthly Settlement,w1,Pull production volumes and material costs,Analyst,"MES, ERP",partial,AI can assist in data extraction but human oversight is needed for context and accuracy.
Manufacturing Finance — Monthly Settlement,w2,Reconcile production volumes and material costs,Analyst,[MISSING],partial,"AI can help identify discrepancies, but human judgment is required to investigate variances."
Manufacturing Finance — Monthly Settlement,w3,Allocate overhead,Analyst,[MISSING],full,Overhead allocation by a fixed rule can be fully automated.
Manufacturing Finance — Monthly Settlement,w4,Prepare cost-of-goods journal entry,Analyst,[MISSING],partial,"AI can draft the journal entry, but a human must review for accuracy and compliance."
Manufacturing Finance — Monthly Settlement,w5,Review and approve journal entry,Manager,[MISSING],manual,This process requires human judgment and approval.
Manufacturing Finance — Monthly Settlement,w6,Generate closing report,Analyst,[MISSING],partial,"AI can assist in generating reports from templates, but human input is needed for finalization."
Manufacturing Finance — Monthly Settlement,w7,Distribute closing report,Analyst,Email,full,The distribution of reports via email can be fully automated.
